scenario,age,cause,sex,year,well,sick,newcases,dead,pop,all.mx,intervention,location
baseline,77,ihd,Female,2045,883240.559751004,90218.2411730724,8740.21195561154,5195.1961675981,1009566.53927459,36107.7383505157,b.a.u,Indonesia
baseline,3,hhd,Male,2017,2483213.39462733,0,0,0,2486677,3463.60537266802,b.a.u,Indonesia
fair_only,70,cmd,Male,2035,916449.682215331,748.879078562518,173.248400067236,65.7948186240974,958459.870210614,41261.3089167204,FAIR,Indonesia
all_plus_fair,71,istroke,Female,2043,1210336.1813169,62753.3131500483,6747.31187990013,2864.04138363122,1307437.79864014,34348.3041731912,FAIR,Indonesia
all_plus_fair,7,hhd,Female,2028,2105861.30241636,0,0,0,2106960.16537968,1098.86296331953,FAIR,Indonesia
baseline,53,cmd,Female,2049,1961154.70819205,278.955728824841,41.0639909223453,44.4479898543546,1974622.10897779,13188.4450569201,b.a.u,Indonesia
baseline,44,rhd,Female,2035,1964013.826398,16984.4384166543,131.736251524678,111.753610866218,1989954.0202652,8955.75545054707,b.a.u,Indonesia
baseline,55,istroke,Male,2021,1412510.39735062,35959.4486345532,3265.89531110716,909.982710662718,1470990.63249376,22520.7865085823,b.a.u,Indonesia
fair_only,30,hstroke,Female,2037,2250325.33011976,6643.45147793764,681.696012207889,314.156787024975,2260442.61925436,3473.83765665529,FAIR,Indonesia
all_plus_fair,8,istroke,Male,2035,2219234.6037768,996.313944732915,146.039015635909,0.708493231038381,2221054.38556946,823.467847930686,FAIR,Indonesia
all_plus_fair,36,ihd,Female,2033,2119630.69244277,20561.5445509286,1846.82328126391,763.500231450835,2144579.65449374,4387.41750004545,FAIR,Indonesia
all_plus_fair,82,dm2,Female,2027,278730.805286616,62174.9179499597,1690.72309496665,1296.35135658332,363347.431454198,22441.7082176233,FAIR,Indonesia
fair_only,30,hhd,Male,2023,2163668.0167737,343.783516171398,60.0329595053661,28.024723874572,2168816.81995718,4805.01966730074,FAIR,Indonesia
fair_only,38,hhd,Male,2036,2211376.13428335,1012.10875802265,307.366822652417,118.103764980885,2219120.35021503,6732.10717365818,FAIR,Indonesia
fair_only,21,cmd,Female,2044,2091708.76615245,304.62389913979,15.829745275904,16.6885586279274,2093927.18403806,1913.79398647211,FAIR,Indonesia
fair_only,3,hhd,Male,2018,2441528.21809871,0,0,0,2446167.644307,4639.42620829042,FAIR,Indonesia
all_plus_fair,57,istroke,Female,2030,1648067.72851968,32064.5679514148,4120.08851766764,660.154351532581,1695885.04130381,15752.7448327177,FAIR,Indonesia
fair_only,9,rhd,Male,2043,2226438.63497657,1842.08233640774,416.046163041107,6.74968827069396,2228992.74564041,712.028327433723,FAIR,Indonesia
baseline,48,hhd,Female,2032,2000821.61646894,2064.18741323985,416.47270632574,243.299444149293,2012731.24382136,9845.43993918047,b.a.u,Indonesia
fair_only,38,hhd,Male,2021,2152383.88334358,989.849214380019,299.248584244546,135.283747200478,2160533.33281478,7159.60025682291,FAIR,Indonesia
all_plus_fair,33,dm2,Male,2037,2117083.15540651,100668.379257372,6292.49437908081,100.09981874623,2222886.54594334,5135.01127945644,FAIR,Indonesia
