"scenario_id","location","sex","age_group","cause","RMSE_deaths","RMSE_prev","error","IRadjust","CFadjust"
45,"Indonesia","Male","85-89","ihd",1289.66580385594,5021.88170767993,7601.21331539181,1,0.5
45,"Indonesia","Male","85-89","istroke",1311.68668162582,5229.06067664696,7852.4340398986,1,0.5
45,"Indonesia","Female","90-94","hhd",525.514340804439,3163.7667301919,4214.79541180078,1,0.5
45,"Indonesia","Female","90-94","hstroke",731.078577439231,790.983915995184,2253.14107087365,1,0.5
45,"Indonesia","Female","90-94","ihd",1650.29327876621,9849.75293757533,13150.3394951078,1,0.5
45,"Indonesia","Female","90-94","istroke",1603.52138465018,3570.25637606207,6777.29914536243,1,0.5
45,"Indonesia","Male","90-94","hhd",313.647950214479,1677.74421201079,2305.04011243975,1,0.5
45,"Indonesia","Male","90-94","hstroke",543.215613315598,318.209194680373,1404.64042131157,1,0.5
45,"Indonesia","Male","90-94","ihd",1671.53762579048,6899.00269093701,10242.077942518,1,0.5
45,"Indonesia","Male","90-94","istroke",1207.75568289389,4964.09882871951,7379.61019450728,1,0.5
45,"Indonesia","Female","95+","hhd",701.899888739293,2710.87195856883,4114.67173604741,1,0.5
45,"Indonesia","Female","95+","hstroke",940.369424446716,1426.07417158458,3306.81302047801,1,0.5
45,"Indonesia","Female","95+","ihd",2123.28298711659,9279.82919644236,13526.3951706755,1,0.5
45,"Indonesia","Female","95+","istroke",2004.23926656659,3586.4290567722,7594.90758990537,1,0.5
45,"Indonesia","Male","95+","hhd",239.714291785922,821.177964285482,1300.60654785733,1,0.5
45,"Indonesia","Male","95+","hstroke",464.748913293005,338.06310172085,1267.56092830686,1,0.5
45,"Indonesia","Male","95+","ihd",1555.53383967653,3799.26269351629,6910.33037286935,1,0.5
45,"Indonesia","Male","95+","istroke",978.779719485382,2445.10905119713,4402.6684901679,1,0.5
46,"Indonesia","Male","60-64","istroke",2495.08057695907,10470.5291360356,15460.6902899538,1,0.55
47,"Indonesia","Male","80-84","istroke",1719.88518516542,11297.4872292241,14737.257599555,1,0.6
48,"Indonesia","Female","85-89","istroke",721.260370743212,3499.31323408559,4941.83397557201,1,0.65
49,"Indonesia","Male","60-64","hstroke",4047.42326441997,4653.59782182596,12748.4443506659,1,0.7
49,"Indonesia","Male","65-69","istroke",641.392498687505,24625.2627719585,25908.0477693335,1,0.7
49,"Indonesia","Male","80-84","hhd",241.153376754579,2311.19781884506,2793.50457235422,1,0.7
50,"Indonesia","Female","55-59","hstroke",672.219152529951,3878.19415409861,5222.63245915851,1,0.75
50,"Indonesia","Male","55-59","hstroke",2325.18897435288,3973.91682419418,8624.29477289994,1,0.75
50,"Indonesia","Male","65-69","hstroke",2117.41985407043,5156.04630106597,9390.88600920682,1,0.75
51,"Indonesia","Female","60-64","hstroke",1098.84138114612,4418.99107763812,6616.67383993036,1,0.8
51,"Indonesia","Male","85-89","hstroke",343.467257174586,390.317790123178,1077.25230447235,1,0.8
52,"Indonesia","Female","50-54","hstroke",689.654685856597,3221.72129716937,4601.03066888256,1,0.85
52,"Indonesia","Male","50-54","hstroke",1538.27926645916,3209.88753508308,6286.44606800141,1,0.85
53,"Indonesia","Male","50-54","hhd",85.5066544912892,670.550969256278,841.564278238856,1,0.9
53,"Indonesia","Male","60-64","ihd",1555.64615063561,16058.01386223,19169.3061635012,1,0.9
55,"Indonesia","Female","50-54","hhd",75.1189626532668,537.501740021289,687.739665327823,1,1
55,"Indonesia","Female","60-64","ihd",795.07804511193,14881.3487046566,16471.5047948804,1,1
