age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
19,Female,dm2,2014,Indonesia,0.00106215320644046,0.00120213180322699,0.00119685704091368,0.00849698534732134,5.27476231331164e-06,2146480,,,,,,,,,,,,,,,,,,,,,,,,,0.00116892618626965,0.00072749530796109,2146480,,,0,0
33,Male,rhd,2027,Indonesia,0.00182880636607702,0.00220085447352597,0.00218584714787843,0.00739376652323848,1.50073256475354e-05,2128999,,,,,,,,,,,,,,,,,,,,,,,,,2.58715930433155e-05,0.00171389646505771,2128999,,,0,0
78,Male,cmd,2008,Indonesia,0.038640551727614,0.0717013781121573,0.0714425640956168,0.0017852169616794,0.000258814016540548,183700,,,,,,,,,,,,,,,,,,,,,,,,,0.000316237594149906,0.218333182146808,183700,,,0,0
35,Male,hstroke,2026,Indonesia,0.00184803852342334,0.00240205760714277,0.00220474144647624,0.00330032371597994,0.000197316160666527,2186798.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000615455170602813,0.116053428096744,2186798.5,,,0,0
61,Female,rhd,2045,Indonesia,0.00603246976639666,0.013404175095103,0.0133676223257539,0.00505302661943894,3.65527693491093e-05,1088178,,,,,,,,,,,,,,,,,,,,,,,,,4.96183116450949e-05,0.00548000339327069,1088178,,,0,0
31,Male,istroke,2035,Indonesia,0.00180196991790739,0.00201171496504708,0.0019978402944787,0.00379762990375558,1.38746705683782e-05,2144640.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000205339425947902,0.00741362846129095,2144640.5,,,0,0
61,Male,hhd,2006,Indonesia,0.0136738857536256,0.0254561695249,0.0245520048893909,0.00297902466815814,0.000904164635509133,622778,,,,,,,,,,,,,,,,,,,,,,,,,0.00161037023623078,0.301935807352858,622778,,,0,0
64,Female,hstroke,2038,Indonesia,0.00753586661346157,0.0162742117341513,0.0132114439594096,0.00928275810116142,0.0030627677747417,909245,,,,,,,,,,,,,,,,,,,,,,,,,0.00554223081161909,0.625844051948179,909245,,,0,0
75,Female,istroke,2001,Indonesia,0.0191316294530071,0.0371738081696896,0.0327114953515899,0.0604924551865902,0.00446231281809968,264950.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00991506245872672,0.055457378257524,264950.5,,,0,0
24,Female,rhd,2001,Indonesia,0.00135193691775598,0.00148589007971851,0.00145602476735283,0.00689977855712346,2.98653123656786e-05,2024559.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000399458759746432,0.00366500779940662,2024559.5,,,0,0
