location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,nm_converged,pct_improvement
Indonesia,Male,Cardiomyopathy and myocarditis,80-84 years,249.782737204253,1595.43585733005,162.820907643598,624.725530215904,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,85-89 years,244.305304185946,1131.20024682206,55.2211183240876,353.859670296745,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,90-94 years,158.476867927468,445.96771451681,88.7124191470877,377.231509809846,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,95+ years,65.6306905326921,130.635674459949,65.0235714849609,121.098323603313,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Hypertensive heart disease,20-24 years,14.2014204854513,162.001774017,3.5645815306623,268.798818237262,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,25-29 years,24.751877140783,120.386384743616,11.3220489385362,232.989395217223,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,30-34 years,31.2620002381483,316.035467209189,6.04627720975391,131.460768153901,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,35-39 years,87.550552738362,605.301239757335,36.8368903746154,177.636451551388,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,40-44 years,226.425678914726,934.177655454618,279.241823240817,476.33025487341,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,45-49 years,200.887064566758,566.553086905763,617.215234490784,707.932946282562,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,50-54 years,275.518305619445,360.074780501105,561.696999718442,1798.0501114461,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,55-59 years,860.086680740083,3656.17579976232,150.320913532941,3746.01120035219,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,60-64 years,612.024128383012,5746.58641082301,320.657630941662,5464.24314277206,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,65-69 years,911.149170833791,2675.39280262213,401.979588223865,2088.31565955237,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,70-74 years,1075.73732167078,7183.20017956049,867.118365430333,2807.448774689,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,75-79 years,1748.06428613375,11567.6736839696,1097.46171764746,3005.83074902422,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,80-84 years,1577.25059918067,11195.8711524588,820.327395617031,3059.18698282343,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,85-89 years,1066.59488570433,6130.4761500907,362.886384133736,2147.73765709052,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,90-94 years,473.360635566321,1974.74956777404,166.235579628461,1259.13801235278,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Hypertensive heart disease,95+ years,175.63887790382,580.932324716012,191.98512101864,582.48017432794,195.779943173631,67.6045439514251,2506,32,FALSE,0,FALSE,65.4691165726468
Indonesia,Male,Intracerebral hemorrhage,20-24 years,119.770910239127,2212.62936989485,318.598465604849,1253.50258917338,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,25-29 years,216.820236067094,1882.90270705531,581.132414483942,1328.97543036232,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,30-34 years,266.685142219786,2373.41336486155,813.290686856256,6070.34789549127,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,35-39 years,532.462641916814,3033.86962633535,1243.91170628962,5824.22837175005,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,40-44 years,1397.38106811385,3319.17134974549,1537.54575165517,1330.70040784899,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,45-49 years,1490.36725144774,4405.67717524162,3866.40415412871,4878.14482628282,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,50-54 years,1790.40726915657,4111.23680798975,4965.22495742027,5853.83763998637,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,55-59 years,3017.86454946301,3576.27320467884,5951.78146339856,10178.9112551553,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,60-64 years,2356.25214029566,3225.13412225557,3349.61540795547,14431.3519713442,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,65-69 years,3563.14321946358,4146.33158120521,4150.83874099645,2166.74018985638,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,70-74 years,5237.99793802333,6626.02060363764,6887.42458576335,2284.44626155291,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,75-79 years,5992.18905555151,6755.91975772927,3179.4922674465,1405.31629051051,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
Indonesia,Male,Intracerebral hemorrhage,80-84 years,4770.80270315293,4945.77000248543,1921.78672909298,1370.74903584655,265.27240507689,119.429877121889,2506,32,TRUE,0,FALSE,54.9784015087164
